dataset,auc
1,0.7333785617367707
2,0.7752913752913754
3,0.31428571428571433
4,0.9714285714285714
5,0.94
6,0.99
7,0.6891666666666667
8,0.9985645933014354
9,0.9555555555555555
10,1.0
11,0.9858906525573192
12,0.9985645933014354
13,0.9333333333333333
14,0.9627039627039626
15,0.8366013071895424
16,0.9042553191489362
17,0.6152530779753762
18,0.9012345679012347
19,0.8269230769230769
20,1.0
21,0.8483870967741935
22,0.9102702702702702
23,0.7083333333333334
24,0.7374491180461329
25,0.9545454545454545
26,0.8214804063860668
27,1.0
28,0.7857142857142857
29,0.8478494623655913
30,0.978021978021978
31,0.8796296296296297
32,0.745
33,0.9918981481481481
34,0.5642857142857143
35,0.867741935483871
36,0.9508804448563485
37,0.979020979020979
38,0.8134978229317852
39,1.0
40,1.0
41,0.9333333333333333
42,0.5535714285714286
43,0.9373814041745729
44,0.972972972972973
45,0.8799999999999999
46,0.9642857142857143
47,0.9680170575692963
48,0.9163636363636363
49,0.8846153846153847
